# Deterministic snapshot stream generated by an in-tree LCG. ~4000 events,
# mix of Adds and Cancels, occasional aggressive crossings. Used by the
# README's snapshot replay example and as a reproducibility anchor for
# perf testing.
0,1000000,0,25,9996
0,1000001,1,48,10002
0,1000002,1,40,9999
0,1000003,1,1,9999
0,1000004,1,33,10002
1,1000000
0,1000005,1,13,9999
0,1000006,0,43,9994
0,1000007,0,12,9996
1,1000007
0,1000008,1,39,9999
1,1000003
1,1000008
0,1000009,0,15,9992
0,1000010,1,5,10002
0,1000011,0,46,9992
0,1000012,1,33,9995
0,1000013,0,22,9990
0,1000014,1,49,9991
0,1000015,0,11,9987
0,1000016,0,5,9982
0,1000017,1,45,9988
0,1000018,0,31,9987
0,1000019,0,10,9986
0,1000020,1,38,9990
0,1000021,0,7,9988
0,1000022,1,33,9989
1,1000006
1,1000011
0,1000023,1,32,9986
0,1000024,1,25,9990
1,1000024
0,1000025,0,48,9983
0,1000026,1,46,9989
0,1000027,0,10,9987
1,1000014
0,1000028,0,43,9986
0,1000029,0,15,9986
0,1000030,1,28,9989
0,1000031,1,2,9989
0,1000032,0,48,9982
0,1000033,0,27,9982
0,1000034,1,43,9986
0,1000035,1,10,9987
1,1000026
0,1000036,1,25,9983
0,1000037,0,42,9982
0,1000038,1,48,9983
0,1000039,0,22,9979
0,1000040,1,50,9981
0,1000041,1,32,9986
0,1000042,0,9,9978
1,1000018
0,1000043,0,31,9974
1,1000033
0,1000044,0,23,9975
0,1000045,0,41,9975
0,1000046,1,33,9977
0,1000047,0,36,9973
1,1000039
0,1000048,0,21,9972
1,1000022
0,1000049,1,27,9980
0,1000050,0,46,9973
0,1000051,0,23,9972
0,1000052,1,31,9975
1,1000002
0,1000053,1,42,9972
0,1000054,0,1,9968
0,1000055,0,50,9967
0,1000056,0,8,9968
0,1000057,1,46,9971
0,1000058,1,25,9973
1,1000031
0,1000059,1,32,9970
0,1000060,0,25,9963
0,1000061,1,25,9970
0,1000062,0,44,9963
0,1000063,0,36,9958
0,1000064,0,37,9961
1,1000037
0,1000065,1,46,9962
0,1000066,0,28,9956
0,1000067,1,24,9967
0,1000068,0,44,9958
0,1000069,1,1,9961
1,1000001
0,1000070,0,29,9957
0,1000071,1,32,9962
0,1000072,1,1,9964
0,1000073,1,7,9962
0,1000074,0,39,9954
0,1000075,0,48,9953
0,1000076,0,6,9957
1,1000041
